[2025-10-27 19:27:42] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:27:42","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:30:07] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:30:07","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:30:12] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:30:12","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:30:17] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:30:17","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:30:22] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:30:22","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:30:27] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:30:27","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:30:32] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:30:32","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:30:37] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:30:37","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:30:42] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:30:42","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:30:47] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:30:47","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:30:52] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:30:52","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:30:57] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:30:57","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:31:02] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:31:02","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:31:07] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:31:07","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:31:12] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:31:12","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:31:17] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:31:17","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:31:22] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:31:22","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:31:27] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:31:27","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:31:32] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:31:32","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:31:37] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:31:37","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:31:42] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:31:42","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:31:47] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:31:47","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:31:52] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:31:52","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:31:57] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:31:57","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:32:02] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:32:02","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:32:07] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:32:07","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:32:12] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:32:12","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:32:17] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:32:17","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:32:22] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:32:22","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:32:27] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:32:27","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:32:32] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:32:32","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:32:37] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:32:37","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:32:42] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:32:42","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:32:47] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:32:47","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:32:52] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:32:52","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:32:57] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:32:57","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:33:02] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:33:02","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:33:07] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:33:07","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:33:12] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:33:12","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:33:17] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:33:17","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:33:22] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:33:22","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:33:27] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:33:27","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:33:32] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:33:32","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:33:37] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:33:37","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:33:42] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:33:42","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:33:47] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:33:47","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:33:52] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:33:52","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:33:57] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:33:57","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:34:02] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:34:02","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:34:07] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:34:07","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:34:12] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:34:12","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:34:17] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:34:17","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:34:22] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:34:22","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:34:27] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:34:27","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:34:32] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:34:32","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:34:37] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:34:37","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:34:42] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:34:42","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:34:47] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:34:47","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:34:52] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:34:52","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:34:57] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:34:57","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:35:02] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:35:02","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:35:07] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:35:07","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:35:12] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:35:12","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:35:17] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:35:17","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:35:22] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:35:22","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:35:27] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:35:27","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:35:32] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:35:32","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:35:37] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:35:37","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:35:42] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:35:42","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:35:47] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:35:47","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:35:52] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:35:52","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:35:57] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:35:57","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:36:02] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:36:02","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:36:07] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:36:07","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:36:12] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:36:12","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:36:17] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:36:17","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:36:22] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:36:22","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:36:27] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:36:27","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:36:32] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:36:32","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:36:37] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:36:37","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:36:42] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:36:42","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:36:47] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:36:47","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:36:52] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:36:52","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:36:57] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:36:57","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:37:02] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:37:02","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:37:07] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:37:07","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:37:12] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:37:12","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:37:17] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:37:17","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:37:22] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:37:22","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:37:27] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:37:27","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:37:32] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:37:32","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:37:37] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:37:37","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:37:42] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:37:42","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:37:47] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:37:47","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:37:52] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:37:52","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:37:57] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:37:57","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:38:02] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:38:02","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:38:07] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:38:07","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:38:12] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:38:12","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:38:17] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:38:17","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:38:22] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:38:22","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:38:27] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:38:27","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:38:32] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:38:32","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:38:37] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:38:37","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:38:42] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:38:42","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:38:47] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:38:47","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:38:52] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:38:52","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:38:57] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:38:57","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:39:02] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:39:02","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:39:07] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:39:07","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:39:12] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:39:12","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:39:17] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:39:17","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:39:22] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:39:22","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:39:27] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:39:27","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:39:32] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:39:32","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:39:37] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:39:37","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:39:42] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:39:42","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:39:47] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:39:47","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:39:52] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:39:52","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:39:57] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:39:57","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
[2025-10-27 19:40:02] | Tema: KPCL0025/pub | Datos: {"device_id":"KPCL0025","timestamp":"2025-10-27T18:40:02","payload":{"temperature":-999,"humidity":-999,"light":0,"weight":0}}
